text,intent
did i'd like to hit my fitness goal today,track_fitness
please add a recurring task,manage_todo
check my leave balance right now,check_pto
tell me a fun fact about space,out_of_scope
tell me about health requirements for travel please,travel_documents
should i leave early today please,commute_traffic
what will the stock market do tomorrow,out_of_scope
can i'd like to book a last minute flight,book_flight
suggest something i can cook with chicken,dietary_advice
i want to take time off please,submit_leave
please can we set up a zoom call,schedule_meeting
what time do i start work tomorrow please,work_schedule
can you what is the dress code for this meeting,work_schedule
i'd like to want to know your capabilities,capabilities
tell me the dress code for this meeting,work_schedule
please cancel my upcoming booking please,cancel_booking
please my card has been used fraudulently,report_fraud
please how much do i have right now,check_balance
can i transfer money internationally right now,make_transfer
can i move money between accounts right now,make_transfer
please i need a hotel with breakfast included,book_hotel
how do i transfer funds right now,make_transfer
find recipes that match my diet,dietary_advice
please i have a meeting to arrange,schedule_meeting
please is there a delay on my flight,check_flight_status
show me my activity for the week please,track_fitness
i need to review the project timeline,task_management
i need to know my balance,check_balance
i need to see someone about my back pain,book_appointment
how long since my last oil change please,car_maintenance
i want to take a day off on monday please,submit_leave
please schedule a meeting for tomorrow,schedule_meeting
i would like to get takeaway,order_food
can you find me a healthy recipe,dietary_advice
is my insurance policy up to date please,insurance_query
send money to another account right now,make_transfer
please i prefer formal language please,update_preferences
can you track whether i have taken my medicine today,medication_reminder
turn off all devices right now,control_home
i'd like to need to organise my tasks,manage_todo
please how is my credit rating,check_credit_score
what is on my task list today,manage_todo
i require to travel urgently book a flight,book_flight
hello please,greeting
add a high priority item to my list,manage_todo
please put in a leave request for me,submit_leave
what alarms do i'd like to have set,set_alarm
i want to reset my settings right now,update_preferences
i want to take the week before christmas off,submit_leave
i no longer need this booking right now,cancel_booking
tell me a good vegetarian protein source,dietary_advice
please how can you help me,capabilities
please set a reminder for my tablets,medication_reminder
show my workout summary please,track_fitness
please i want to be notified about something,set_reminder
should i leave early today,commute_traffic
please book holiday dates please,submit_leave
add a recurring task,manage_todo
please what is my deadline for this project,task_management
is my passport expiring soon please,travel_documents
i want to know my credit score please,check_credit_score
check my energy usage today right now,control_home
please book accommodation for my trip,book_hotel
can you set a countdown timer,set_alarm
hey jarvis,greeting
what tasks can i give you please,capabilities
can you i no longer want sms notifications,update_preferences
please i want to reset my settings,update_preferences
can you book my car in for a service,car_maintenance
show me my activity for the week right now,track_fitness
please what is blocking my current task,task_management
i need to know my balance right now,check_balance
order food for delivery right now,order_food
what time do i'd like to start work tomorrow,work_schedule
find me the earliest available doctor,book_appointment
find me somewhere to eat,restaurant_suggest
please can you book me into a hotel,book_hotel
how much is in my account right now,check_balance
please add a task to my to do list,manage_todo
can you how many calories have i burned,track_fitness
cancel the friday team meeting please,schedule_meeting
please help me transfer money,make_transfer
please update the status of my report,task_management
order something vegetarian for dinner,order_food
i'd like to forgot to take my tablets,medication_reminder
i need a place to stay next week,book_hotel
i'd like to need a flight ticket,book_flight
submit a half day leave request,submit_leave
tell me my agenda for today,check_schedule
please i need a place to stay next week,book_hotel
can you book annual leave for next week,submit_leave
i never made this transaction please,report_fraud
display my commitments this week,check_schedule
please can i see my credit report,check_credit_score
please there is a transaction i did not make,report_fraud
what is the baggage allowance for my flight please,travel_documents
what is my current balance please,check_balance
can you i need to dispute an unauthorised payment,report_fraud
show me my credit history right now,check_credit_score
process my leave request for next month right now,submit_leave
suggest something i can cook with chicken please,dietary_advice
please dim the bedroom lights,control_home
tell me planned for the weekend,check_schedule
can you show tasks due this week,manage_todo
i need to organise my tasks,manage_todo
can you i finished the report mark it done,manage_todo
please check my car maintenance schedule,car_maintenance
can you turn off all the lights,control_home
what vaccinations do i need for travel please,travel_documents
can you i want to see my leave history,check_pto
find hotels near my meeting venue right now,book_hotel
alert me before my deadline right now,set_reminder
what is my step count right now,track_fitness
set an alert for my meeting,set_reminder
i want to try something new for dinner please,dietary_advice
please will i be late if i leave now,commute_traffic
what is my savings account balance,check_balance
tell me the status of my flight,check_flight_status
find a restaurant open right now please,restaurant_suggest
can you apply for unpaid leave,submit_leave
can you when does my electricity bill get charged,check_bill_due
how long did i'd like to sleep,track_fitness
i want to order gluten free food right now,order_food
is there traffic on my commute,commute_traffic
what is on my calendar,check_schedule
have i'd like to missed any medication today,medication_reminder
can you i need to call off my trip,cancel_booking
please find a restaurant with good reviews,restaurant_suggest
i need to visit the hospital please,book_appointment
please request time off for my trip,submit_leave
move my 2pm meeting to 4pm right now,schedule_meeting
tell me my savings account balance,check_balance
apply for annual leave right now,submit_leave
can you add a task to my to do list,manage_todo
how do i make an insurance claim please,insurance_query
can you i want to cancel and rebook,cancel_booking
show me my commitments this week,check_schedule
how much is my insurance premium,insurance_query
please is my balance enough for a purchase,check_balance
what alarms do i have set,set_alarm
i would like to take the week before christmas off,submit_leave
who won the football last night right now,out_of_scope
set a weekly reminder please please,set_reminder
update my preferences please,update_preferences
what can i ask you right now,capabilities
is the dart running on time right now,commute_traffic
i keep forgetting things set a reminder,set_reminder
i take ramipril daily remind me please please,medication_reminder
please i keep forgetting things set a reminder,set_reminder
hey right now,greeting
can you what are the best hotels for my trip,book_hotel
cancel my flight booking reference,cancel_booking
how long did i sleep,track_fitness
i need to see someone about my back pain right now,book_appointment
show my home security camera please,control_home
i'd like to want to stay in a 4 star hotel,book_hotel
can you i need to make a medical appointment,book_appointment
move my 2pm meeting to 4pm please,schedule_meeting
i need to dispute an unauthorised payment,report_fraud
please how busy is the motorway right now,commute_traffic
please set an alert for my meeting,set_reminder
can you what work is due this week,task_management
why did my credit score drop right now,check_credit_score
what can i eat for dinner tonight,dietary_advice
can you i want to play a trivia game,out_of_scope
can you what travel documents should i bring,travel_documents
hello i need help please,greeting
please tell me about visa requirements,travel_documents
what are some gluten free snacks please,dietary_advice
can you i need ideas for a high protein breakfast,dietary_advice
please cancel the restaurant reservation,cancel_booking
do i require a visa for france,travel_documents
hi i want to ask something,greeting
put in a leave request for me please,submit_leave
i see a charge i dont recognise please,report_fraud
show me my pending tasks,manage_todo
how can i improve my credit score please,check_credit_score
what are the entry requirements for the usa right now,travel_documents
review my upcoming schedule please,check_schedule
do i'd like to have enough days for a 5 day break,check_pto
what is my car registration,car_maintenance
remind me about my evening dose right now,medication_reminder
please show my current account funds,check_balance
can you greetings,greeting
are there any delays on my commute please,commute_traffic
find me a healthy recipe please,dietary_advice
can you i have to cancel my plans can you help,cancel_booking
find a free slot for a meeting next week,schedule_meeting
i want to fly this weekend please,book_flight
i see a charge i dont recognise right now,report_fraud
what is a good spot for a date night please,restaurant_suggest
please how long is my visa valid for,travel_documents
update my preferences right now,update_preferences
please submit a half day leave request,submit_leave
i need to change my travel plans please,cancel_booking
good afternoon,greeting
can you my identity may have been stolen,report_fraud
can you compose an email to my colleague,out_of_scope
is the dart running on time,commute_traffic
please transfer 500 euros to my savings,make_transfer
i want a gradual wake alarm right now,set_alarm
can you add extra items to my order,order_food
check traffic on my usual route,commute_traffic
can you how many miles since my last service,car_maintenance
confirm my flight for tomorrow,check_flight_status
please i need to see someone about my back pain,book_appointment
please find the cheapest flight to rome,book_flight
find direct flights to dubai,book_flight
can you do i have any bills this week,check_bill_due
check my appointments for this week right now,check_schedule
please when is my next doctors appointment,book_appointment
can you i want to try something new for dinner,dietary_advice
i need a flight ticket right now,book_flight
set a recurring reminder for my medication,medication_reminder
i'd like to want a low calorie dinner idea,dietary_advice
schedule a gp visit for me,book_appointment
i feel like going for indian food please,restaurant_suggest
how long did i sleep please,track_fitness
flag a suspicious charge,report_fraud
what movies are showing tonight right now,out_of_scope
can you i need a gluten free recipe,dietary_advice
what alarms do i have set right now,set_alarm
i need to book a hotel,book_hotel
find a doctor available this week please,book_appointment
what score do i need for a mortgage,check_credit_score
what are the entry requirements for the usa please,travel_documents
how many steps have i'd like to taken today,track_fitness
can you dim the bedroom lights,control_home
please find me a free appointment slot,book_appointment
please remove all alarms,set_alarm
flag a suspicious charge right now,report_fraud
i'd like to have to cancel my plans can you help,cancel_booking
dim the bedroom lights,control_home
show me my insurance details,insurance_query
suggest a place that fits my diet please,restaurant_suggest
remind me with an alarm in 2 hours please,set_alarm
can you what do i owe this month,check_bill_due
update my dietary preference to vegan,update_preferences
can you how long does a transfer take,make_transfer
my check engine light came on right now,car_maintenance
can you manage my work tasks please,capabilities
can you i want a gradual wake alarm,set_alarm
submit a half day leave request right now,submit_leave
please i want to order gluten free food,order_food
can you are there any travel restrictions right now,travel_documents
can you how to raise my credit score,check_credit_score
order something vegetarian for dinner please,order_food
what does my health insurance cover please,insurance_query
can you help me find a flight,book_flight
please show my home security camera,control_home
what hospital am i covered in,insurance_query
report a suspicious transaction right now,report_fraud
am i close to my step goal right now,track_fitness
please check the departure time of my flight,check_flight_status
what time does the office open right now,work_schedule
i forgot to take my tablets,medication_reminder
when is my subscription payment please,check_bill_due
do i need to print my boarding pass please,travel_documents
what tasks can i give you right now,capabilities
find a gluten free restaurant right now,restaurant_suggest
please i want to take time off,submit_leave
i no longer want sms notifications,update_preferences
can you i want to change my language setting,update_preferences
i would like to book a flight,book_flight
how do i get my money back for a cancelled trip,cancel_booking
what is my insurance plan name,insurance_query
i need to send money abroad,make_transfer
please submit a pto request for july,submit_leave
can you find a vegetarian friendly restaurant,restaurant_suggest
what meetings do i have at work right now,work_schedule
can you how do i transfer to a different bank,make_transfer
track whether i'd like to have taken my medicine today,medication_reminder
book a doctor appointment,book_appointment
what medication do i take in the morning right now,medication_reminder
dim the bedroom lights right now,control_home
what are the customs rules when arriving please,travel_documents
i want to personalise my assistant right now,update_preferences
please what can i ask you,capabilities
can you wake me up early for my flight,set_alarm
i'd like to want push notifications instead,update_preferences
can you turn off all devices,control_home
can you i see a charge i dont recognise,report_fraud
what alarms do i have set please,set_alarm
is my car insurance up to date right now,car_maintenance
what is my agenda for today please,check_schedule
i need to be reminded about an appointment,set_reminder
what project am i working on right now,task_management
schedule a gp visit for me please,book_appointment
how is the traffic this morning,commute_traffic
place an order from dominos right now,order_food
transfer 500 euros to my savings right now,make_transfer
book annual leave for next week please,submit_leave
i'd like to take ramipril daily remind me please,medication_reminder
when is my next doctors appointment right now,book_appointment
please i need a 25 minute timer,set_alarm
can i see my credit report,check_credit_score
please what floor is my team on,work_schedule
change my home address please,update_preferences
what floor is my team on,work_schedule
can you what is the status of my flight,check_flight_status
what meetings do i have this week,check_schedule
can you when does my next flight leave,check_flight_status
cancel my hotel reservation right now,cancel_booking
check road conditions for my journey right now,commute_traffic
can you what is my leave entitlement,check_pto
i feel like going for indian food,restaurant_suggest
translate this sentence to japanese please,out_of_scope
how many days off can i still take,check_pto
predict the lottery numbers right now,out_of_scope
what is my step count,track_fitness
please check the progress on my tasks,task_management
i need a weekend alarm please,set_alarm
get me a pizza delivered please,order_food
can you find a doctor available this week,book_appointment
what is a good vegetarian protein source,dietary_advice
what does my health insurance cover,insurance_query
can you what is my agenda for today,check_schedule
set up a transfer for me,make_transfer
what do i have on today,check_schedule
can you how much is my insurance premium,insurance_query
activate the security alarm,control_home
can you book a dental appointment,book_appointment
hello jarvis are you there,greeting
please i need to book 5 days off,submit_leave
find me a hotel in paris,book_hotel
can you is my schedule clear for monday,check_schedule
can you remind me about my evening dose,medication_reminder
please set the lights to movie mode,control_home
tell me the capital of mongolia,out_of_scope
apply for unpaid leave please,submit_leave
what is the most urgent task,manage_todo
how do i do a bank transfer right now,make_transfer
i'd like to want to try something new to eat,restaurant_suggest
how can i'd like to improve my credit score,check_credit_score
i want to get takeaway,order_food
is outpatient treatment covered right now,insurance_query
turn off notifications right now,update_preferences
can you find hotels with gym facilities,book_hotel
tell me my balance please right now,check_balance
please give me a traffic report for my area,commute_traffic
can you tell me my creditworthiness,check_credit_score
please book me somewhere to stay in london,book_hotel
is my passport valid for this trip please,travel_documents
i want to get takeaway right now,order_food
i want a low calorie dinner idea,dietary_advice
tell me my insurance excess,insurance_query
please suggest a place that fits my diet,restaurant_suggest
i need to take next friday off right now,submit_leave
please move my 2pm meeting to 4pm,schedule_meeting
please what is the dress code for this meeting,work_schedule
confirm my flight for tomorrow please,check_flight_status
check if the door is locked right now,control_home
please i need to see a doctor,book_appointment
i require to make a medical appointment,book_appointment
lock the front door,control_home
can you what restaurants can i book for this weekend,restaurant_suggest
update my profile,update_preferences
i need to fly to paris please,book_flight
tell me on my task list today,manage_todo
my tyre pressure light is on please,car_maintenance
what is hurting my credit score,check_credit_score
is there traffic on my commute please,commute_traffic
can i book a last minute flight right now,book_flight
please what recurring payments do i have,check_bill_due
book a meeting room please,schedule_meeting
hey i have a question,greeting
help me understand what you can do please,capabilities
alert me when it is time for my next dose,medication_reminder
add extra items to my order,order_food
tell me what you are capable of please,capabilities
show me my account balance right now,check_balance
what is my credit score,check_credit_score
do i have any bills this week right now,check_bill_due
hello i need help,greeting
i require to book a hotel,book_hotel
please change my alarm tone,update_preferences
can you set up a call with my manager,schedule_meeting
what fees apply to transfers please,make_transfer
suggest a vegetarian meal right now,dietary_advice
is the dart running on time please,commute_traffic
please lock the front door,control_home
find hotels with gym facilities right now,book_hotel
please show me my work tasks,task_management
can you add a recurring reminder,set_reminder
i need to travel urgently book a flight please,book_flight
can you manage my calendar,capabilities
how many sick days have i used right now,check_pto
what can i cook without gluten please,dietary_advice
can you i need to eat more vegetables suggest something,dietary_advice
please i need to fly to paris,book_flight
please order food for delivery,order_food
what documents do i need to travel,travel_documents
snooze my alarm please,set_alarm
please wake me up at 6 30,set_alarm
tell me due at the end of the month,check_bill_due
update my date of birth,update_preferences
am i free on friday,check_schedule
i need to dispute an unauthorised payment please,report_fraud
i would like to make a payment to someone,make_transfer
please what is planned for the weekend,check_schedule
i need to organise my tasks right now,manage_todo
tell me the best route to work,commute_traffic
tell me happening tomorrow,check_schedule
can you transfer 500 euros to my savings,make_transfer
i require a hotel with breakfast included,book_hotel
please what is my shift pattern,work_schedule
what are the entry requirements for the usa,travel_documents
what services can you help with please,capabilities
find hotels near my meeting venue,book_hotel
can you i have a meeting to arrange,schedule_meeting
please how many steps to hit my daily goal,track_fitness
can you request parental leave,submit_leave
help me find a flight,book_flight
what tasks can i'd like to give you,capabilities
what id do i require at the airport,travel_documents
can you hello assistant,greeting
do i have any bills this week please,check_bill_due
please plan my meals for the week,dietary_advice
find a restaurant open right now right now,restaurant_suggest
tell me the fastest way to the office,commute_traffic
set an alert for my meeting please,set_reminder
please can i claim for physiotherapy,insurance_query
can you wake me up at 6 30,set_alarm
i think my account has been hacked,report_fraud
hi what can you do please,greeting
i would like to cancel and rebook,cancel_booking
i need to book a mot,car_maintenance
suggest somewhere italian near me right now,restaurant_suggest
where is my office located please,work_schedule
how do i'd like to do a bank transfer,make_transfer
can you i finished the presentation mark it done,task_management
i want to change my hotel booking please,book_hotel
set multiple alarms for the morning,set_alarm
please book a hotel room for two nights,book_hotel
can you i need pet friendly accommodation,book_hotel
my identity may have been stolen please,report_fraud
can you i need to see a doctor,book_appointment
send a progress update for my project right now,task_management
someone has stolen my card details right now,report_fraud
can you what is the baggage allowance for my flight,travel_documents
can you hi i want to ask something,greeting
please do i have a busy day tomorrow,check_schedule
tell me about my upcoming financial obligations,check_bill_due
tell me my balance please please,check_balance
i require to send a payment,make_transfer
can you do i need a visa for france,travel_documents
please do i have anything scheduled for this afternoon,check_schedule
block out time for a presentation please,schedule_meeting
wake me up early for my flight please,set_alarm
please what is the cheapest delivery right now,order_food
can i see tell me on my credit report,check_credit_score
what is the full list of things you do right now,capabilities
have i been hitting my daily goals,track_fitness
someone used my card without permission,report_fraud
can you what temperature is the house,control_home
check my upcoming payment dates,check_bill_due
check my holiday allowance,check_pto
tell me the parking situation at the office,commute_traffic
help me find a flight please,book_flight
show me my schedule for the week please,check_schedule
do i have a busy day tomorrow,check_schedule
how much annual leave do i have,check_pto
i need to arrange a meeting with my team right now,schedule_meeting
book my car in for a service please,car_maintenance
please is my passport expiring soon,travel_documents
what documents do i need to travel please,travel_documents
set a daily reminder for me please,set_reminder
when does my car tax expire,car_maintenance
please hello assistant,greeting
please set up a call with my manager,schedule_meeting
can i transfer money internationally,make_transfer
can you show me all your features,capabilities
set the heating to come on at 6pm right now,control_home
i'd like to need to call off my trip,cancel_booking
i need to fly to paris right now,book_flight
i need to eat more vegetables suggest something right now,dietary_advice
please give me a fitness progress update,track_fitness
do i have any holidays left please,check_pto
set up medication reminders for me please,medication_reminder
recommend a good place for lunch right now,restaurant_suggest
how do i'd like to cancel my trip,cancel_booking
am i covered for this procedure please,insurance_query
good evening,greeting
find the best rated hotels in rome please,book_hotel
i want to see my itinerary,check_flight_status
give me an update on my flight right now,check_flight_status
can i schedule a future transfer,make_transfer
please when is my car service due,car_maintenance
please am i in the office tomorrow,work_schedule
i want to change my hotel booking right now,book_hotel
make a gp appointment for tomorrow please,book_appointment
i take ramipril daily remind me please,medication_reminder
is my dental covered by insurance right now,insurance_query
can you am i in the office tomorrow,work_schedule
hi there please,greeting
can you hi there what can you do,greeting
can you who is my manager,work_schedule
can you withdraw my booking,cancel_booking
please show me my credit history,check_credit_score
can you my check engine light came on,car_maintenance
please suggest somewhere italian near me,restaurant_suggest
display my credit history,check_credit_score
what is my savings account balance please,check_balance
set a reminder for me please,set_reminder
can you show me my annual leave status,check_pto
can you reorder my usual,order_food
i finished the presentation mark it done,task_management
can you there is an unauthorised payment on my account,report_fraud
please alert me before my deadline,set_reminder
i need to book a mot right now,car_maintenance
can you have i been hitting my daily goals,track_fitness
i require to organise my tasks,manage_todo
show me my smart home status please,control_home
please book an appointment with my dentist,book_appointment
can you how many active minutes today,track_fitness
i'd like to need to be reminded about an appointment,set_reminder
find me the earliest available doctor right now,book_appointment
i need to book a hotel please,book_hotel
i take ramipril daily remind me please right now,medication_reminder
please set up medication reminders for me,medication_reminder
how early should i apply for a visa right now,travel_documents
break down this task into steps please,manage_todo
what bills do i have coming up right now,check_bill_due
what is my resting heart rate right now,track_fitness
i need to know my balance please,check_balance
please i need to make a medical appointment,book_appointment
am i in the office tomorrow right now,work_schedule
show my current account funds right now,check_balance
cancel the paris hotel right now,cancel_booking
i'd like to need to eat more vegetables suggest something,dietary_advice
i want to know your capabilities,capabilities
i would like to dispute a transaction,report_fraud
add a meeting to my calendar please,schedule_meeting
i need to schedule a one to one right now,schedule_meeting
tell me the transfer limit,make_transfer
how do i'd like to contact my insurance provider,insurance_query
do i have private health insurance,insurance_query
please suggest hotels that match my budget,book_hotel
what does my balance look like right now,check_balance
please i forgot to take my tablets,medication_reminder
what project am i working on please,task_management
how long since my last oil change,car_maintenance
set up a call with my manager please,schedule_meeting
can you turn off notifications,update_preferences
i need sick leave for today,submit_leave
can you change my name in the system,update_preferences
what do you support right now,capabilities
when is my next doctors appointment,book_appointment
what is on my task list today right now,manage_todo
can you add an alarm for 8am,set_alarm
i want to pay back a friend,make_transfer
show me my account balance please,check_balance
can you what bills do i have coming up,check_bill_due
please i need to know if my credit is good,check_credit_score
i'd like to need to make a medical appointment,book_appointment
i'd like to want to order gluten free food,order_food
how long until my order arrives,order_food
what is the cheapest delivery right now,order_food
turn off all the lights right now,control_home
please show me upcoming bills,check_bill_due
book accommodation for my trip,book_hotel
how do i'd like to report card fraud,report_fraud
can i see what is on my credit report right now,check_credit_score
what recurring payments do i have,check_bill_due
i require to see a specialist,book_appointment
set the thermostat to 21 degrees please,control_home
escalate this issue in the project right now,task_management
book annual leave for next week right now,submit_leave
i need to see my payment schedule right now,check_bill_due
change my name in the system,update_preferences
can you code for me please,out_of_scope
i would like to travel to spain next month,book_flight
i need to book a hotel right now,book_hotel
can you tell me about my upcoming flight,check_flight_status
is my dental covered by insurance,insurance_query
show me upcoming bills please,check_bill_due
i need to clear my task backlog please,manage_todo
what is the cheapest delivery right now right now,order_food
check if i am free next tuesday,check_schedule
update my profile right now,update_preferences
what is covered under my vhi plan please,insurance_query
i would like to fly this weekend,book_flight
i need to review the project timeline right now,task_management
please schedule my annual health checkup,book_appointment
create an alarm for an important task right now,set_reminder
check if my paris flight is on schedule,check_flight_status
please remind me with an alarm in 2 hours,set_alarm
please is the thermostat set correctly,control_home
what time do i start work tomorrow,work_schedule
please find recipes that match my diet,dietary_advice
never let me forget my daily pills,medication_reminder
there is a transaction i'd like to did not make,report_fraud
i require to clear my task backlog,manage_todo
can you show me my activity for the week,track_fitness
i want to play a trivia game right now,out_of_scope
order food for delivery please,order_food
withdraw my booking,cancel_booking
can you check my balance right now,check_balance
tell me the cheapest delivery right now,order_food
what hospital am i covered in please,insurance_query
please when does my electricity bill get charged,check_bill_due
please how early should i apply for a visa,travel_documents
alert me before my deadline,set_reminder
can you what time do i start work tomorrow,work_schedule
i need to track my medication schedule please,medication_reminder
show me my flight booking right now,check_flight_status
what do you support please,capabilities
how many miles since my last service,car_maintenance
undo my hotel reservation right now,cancel_booking
tell me my current credit rating,check_credit_score
move my 2pm meeting to 4pm,schedule_meeting
can you i need to change my travel plans,cancel_booking
give me a traffic report for my area please,commute_traffic
i want to stay in a 4 star hotel please,book_hotel
please send money to another account,make_transfer
i require a gluten free recipe,dietary_advice
book my car for a tyre change right now,car_maintenance
change my communication preference,update_preferences
can you do i have private health insurance,insurance_query
good evening please,greeting
alarm at 6am every weekday please,set_alarm
please how can i improve my credit score,check_credit_score
can you find a restaurant open right now,restaurant_suggest
what tasks can i give you,capabilities
is outpatient treatment covered please,insurance_query
please i want a gradual wake alarm,set_alarm
what is my insurance excess,insurance_query
can you what do i have on today,check_schedule
how do i'd like to book a desk at the office,work_schedule
can you how early should i apply for a visa,travel_documents
solve this math problem for me please,out_of_scope
can you turn on the kitchen lights,control_home
tell me my creditworthiness,check_credit_score
can you do i need an esta to visit america,travel_documents
can you confirm my flight for tomorrow,check_flight_status
report a suspicious transaction,report_fraud
can i book a last minute flight please,book_flight
are there any delays on my commute,commute_traffic
am i covered for this procedure right now,insurance_query
can you give me a recipe for chocolate cake,out_of_scope
turn off all the lights,control_home
do i'd like to have a busy day tomorrow,check_schedule
i need a daily reminder for my prescription,medication_reminder
please hi how are you,greeting
please what healthy snacks can i eat,dietary_advice
can you remind me about something,set_reminder
show me my insurance details right now,insurance_query
can you i need a notification for my event,set_reminder
find the cheapest flight to rome please,book_flight
find fast food delivery near me right now,order_food
can you show me my schedule for the week,check_schedule
can you how much time off do i have,check_pto
can you suggest a vegetarian meal,dietary_advice
can you what healthy snacks can i eat,dietary_advice
book a table for two tonight,restaurant_suggest
how many days off do i have left right now,check_pto
can you send a progress update for my project,task_management
i need to know if my credit is good please,check_credit_score
i need windscreen repair please,car_maintenance
do i need to print my boarding pass right now,travel_documents
can you review my upcoming schedule please,check_schedule
i never made this transaction right now,report_fraud
change my alarm tone,update_preferences
book holiday dates please,submit_leave
please i need a reminder for tomorrow,set_reminder
set up a transfer for me please,make_transfer
what is my deadline for this project right now,task_management
can you add a high priority item to my list,manage_todo
i need to change my travel plans,cancel_booking
can you write me a story,out_of_scope
remind me at 8am tomorrow right now,set_reminder
i'd like to need a notification for my event,set_reminder
can you help me transfer money,make_transfer
please is there an accident on my route,commute_traffic
please add a quarterly review to my calendar,schedule_meeting
can i cancel without a penalty please,cancel_booking
show me work events this week please,work_schedule
create a new task for me right now,manage_todo
i want to take time off,submit_leave
can you do i have a busy day tomorrow,check_schedule
please can you pull up my balance,check_balance
can you pull up my balance please,check_balance
please have i missed any medication today,medication_reminder
hey please,greeting
i'd like to want to be notified about something,set_reminder
remind me about something please,set_reminder
can you this charge looks fraudulent,report_fraud
tell me about visa requirements,travel_documents
please can you track my health,capabilities
what is due at the end of the month,check_bill_due
what bills do i have coming up please,check_bill_due
organise a planning session for the team,schedule_meeting
can you show me my insurance details,insurance_query
what is my account balance right now,check_balance
book an appointment at the dental clinic please,book_appointment
i want to transfer money please,make_transfer
i need to send a payment please,make_transfer
can you is friday a remote day,work_schedule
tell me a joke right now,out_of_scope
find a garage near me please,car_maintenance
please show me my work calendar,work_schedule
can you check my balance please,check_balance
remind me with an alarm in 2 hours,set_alarm
what is the capital of mongolia please,out_of_scope
can you what is a good spot for a date night,restaurant_suggest
cancel my hotel reservation,cancel_booking
what tasks are assigned to me,task_management
can you what is happening tomorrow,check_schedule
do i'd like to have a late finish today,work_schedule
find me an easy vegetarian recipe please,dietary_advice
i want to try something new to eat please,restaurant_suggest
how much money is available to me,check_balance
is my insurance policy up to date,insurance_query
what documents do i require to travel,travel_documents
can you someone has stolen my card details,report_fraud
i'd like to need windscreen repair,car_maintenance
can you renew my insurance policy,insurance_query
what events do i have coming up,check_schedule
help me prepare my travel paperwork please,travel_documents
will i be late if i leave now right now,commute_traffic
can you search for hotels near the city centre,book_hotel
show me all your features please,capabilities
i have to cancel my plans can you help please,cancel_booking
can you how much money is available to me,check_balance
please are you able to book flights,capabilities
can you remind me later,set_reminder
can i see what is on my credit report,check_credit_score
